title,features
Terminator Genisys,The Terminator Collection Science Fiction Action Thriller Adventure Alan Taylor Paramount Pictures Annapurna Pictures Skydance Media United States of America
Fear, Thriller Roberto Rossellini Minerva Film SpA Germany Italy
Battle of the Amazons, Fantasy Action Alfonso Brescia Cinematográfica Pelimex Roas Produzioni Spain Italy
Perkins' 14, Horror Thriller Craig Singer After Dark Films United States of America
The Reptile, Horror John Gilling Hammer Film Productions United Kingdom
Tooth Fairy 2,Tooth Fairy Collection Comedy Family Alex Zamm 20th Century Pictures United States of America
Dirkie - Lost in the Desert, Adventure Drama Jamie Uys  
The Deadly Bees, Horror Foreign Thriller Mystery Freddie Francis Paramount Pictures Amicus Productions United Kingdom
The Last Flight, Drama William Dieterle First National Pictures United States of America
Clear History, Comedy Greg Mottola Fox Searchlight Pictures HBO Films United States of America
Talk About a Stranger, Mystery Drama David Bradley Metro-Goldwyn-Mayer (MGM) United States of America
The Expedition to the End of the World, Documentary Daniel Dencik  
Once Fallen, Drama Action Crime Ash Adams Freedom Films Emmett/Furla Films Bravado Pictures United States of America
I Accuse, Horror War Abel Gance  
His and Hers, Drama Comedy Daniel Lind Lagerlöf  Sweden
The Shanghai Cobra,Charlie Chan (Sidney Toler) Collection Mystery Thriller Phil Karlson Monogram Pictures United States of America
Love Bites, Horror Romance Comedy Malcolm Marmorstein  
The Crowded Sky, Action Adventure Drama Joseph Pevney Warner Bros. United States of America
Multiple Sarcasms, Drama Romance Brooks Branch Multiple Avenue Releasing United States of America
The Lovers, Romance Drama Family Fantasy Tsui Hark  Hong Kong
Woman Wanted, Drama Romance Kiefer Sutherland Alan Smithee Woman Wanted Productions Ltd. Phoenician Entertainment United States of America
Soul Power, Documentary Music Jeffrey Kusama-Hinte Antidote Films (I) United States of America
The Last Rites of Ransom Pride, Action Drama Western Tiller Russell Horsethief Pictures Canada
Way Way Out, Comedy Science Fiction Gordon Douglas Coldwater Way Out Company United States of America
Bunny Drop, Drama Comedy SABU Showgate Japan
Fifty Shades of Grey,Fifty Shades Collection Drama Romance Thriller Sam Taylor-Johnson Focus Features Trigger Street Productions Michael De Luca Productions United States of America
The Horribly Slow Murderer with the Extremely Inefficient Weapon, Comedy Horror Richard Gale Chaotic Rampage American Pictures United States of America
Long Hello and Short Goodbye, Comedy Thriller Rainer Kaufmann Studio Hamburg Letterbox Filmproduktion Germany
Li'l Quinquin, Mystery Comedy Crime Bruno Dumont Arte France CNC 3B Productions Région Nord-Pas-de-Calais Le Fresnoy Studio National des Arts Contemporains TV5 Monde Cofinova 10 Pictanovo Nord-Pas-de-Calais France
The Story of Film: An Odyssey, Documentary Mark Cousins  United Kingdom
Neverwhere,  Dewi Humphreys  
The Well, Drama Russell Rouse Cardinal Pictures (II) United States of America
One Way Boogie Woogie,  James Benning  
The Devil with Seven Faces, Thriller Osvaldo Civirani  Italy
Under Ten Flags, History War Duilio Coletti Paramount Pictures Dino de Laurentiis Cinematografica Italy United States of America
The Shuttered Room, Drama Mystery Horror David Greene Seven Arts Productions United Kingdom
Sweet Deceptions, Romance Drama Alberto Lattuada  
Come Have Coffee with Us, Comedy Alberto Lattuada Mars Films Italy
Keep an Eye on Amelia, Comedy Claude Autant-Lara Lux Film Lux Compagnie Cinématographique de France Italy France
My Mistress, Romance Drama Stephen Lance Mini Studios Australia
SOS,Sällskapsresorna Comedy Lasse Åberg Smart Egg Pictures Cinema Art Svensk Filmindustri (SF) Viking Film Sweden
Slam Dance, Mystery Thriller Wayne Wang Sho Films Island Pictures Zenith Entertainment United Kingdom United States of America
Hababam Sınıfı Sınıfta Kaldı,Hababam Sınıfı Collection  Ertem Eğilmez  Turkey
Hotel Hell Vacation, Comedy Bryan Buckley  
Eddie Izzard: Circle, Comedy Anastasia Pappas  United Kingdom
Blue Rita, Action Thriller Jesús Franco Elite Film France Switzerland
The Song, Music Romance Drama Richard Ramsey City on a Hill Productions United States of America
The Adopted, Drama Mélanie Laurent TF1 Films Production Studio Canal France
The Hellfire Club, Adventure Robert S. Baker Monty Berman New World Productions United Kingdom
Tracers, Action Crime Drama Daniel Benmayor Temple Hill Entertainment Senator Film Freerunning Melbarken Saban Films Cowtown Cinema Ventures United States of America
Cose da pazzi,  Vincenzo Salemme  Italy
The Police Serve the Citizens?, Foreign Action Crime Romolo Guerrieri PECF Capital Films France Italy
Lost for Life, Crime Documentary Joshua Rofe  
Sailing to Paradise, Romance Comedy Drama Blaž Završnik SEVER & SEVER Slovenia
Hell Is a City, Crime Thriller Val Guest Hammer Film Productions United Kingdom
Laissons Lucie faire !, Romance Comedy Emmanuel Mouret  
Secrets of a Married Man, Drama William A. Graham ITC Entertainment United States of America
Gentlemen, Thriller Drama Romance Mikael Marcimain  Sweden
Hurricane, Drama TV Movie Jerry Jameson Metromedia Producers Corporation (MPC) United States of America
Profit Motive and the Whispering Wind, Documentary John Gianvito  
Infinitely Polar Bear, Comedy Drama Maya Forbes Paper Street Films Bad Robot Park Pictures KGB Media United States of America
Water's Edge, Thriller Harvey Kahn  
Basic Training, Comedy Andrew Sugerman Playboy Entertainment Group Entertainment Events United States of America
Hungry Hearts, Drama Saverio Costanzo Rai Cinema Wildside Italy
In Search of Memory, Documentary Petra Seeger  
Banning, Romance Drama Ron Winston Universal Pictures United States of America
Sinatra: All or Nothing at All, Documentary Alex Gibney  
Finding Gastón, Documentary Julia Patricia Perez Chiwake Films Peru
Driving Me Crazy, Comedy Jon Turteltaub PolyGram Filmed Entertainment United States of America
Terror Express, Drama Ferdinando Baldi  
Doug Stanhope: Beer Hall Putsch, Comedy Jay Karas New Wave Entertainment Television United States of America
Yasmin, Drama Kenneth Glenaan  Germany United Kingdom
I guappi non si toccano,  Mario Bianchi  
The Murder Man, Crime Drama Romance Thriller Tim Whelan Metro-Goldwyn-Mayer (MGM) United States of America
Gulaal, Crime Drama Foreign Anurag Kashyap Zee Limelight India
Uncle Vanya, Romance Drama Andrei Konchalovsky Mosfilm Russia
Hot Girls Wanted, Documentary Ronna Gradus Jill Bauer Two to Tangle Productions United States of America
Rich and Poor, Comedy Romance Pasquale Festa Campanile  Italy
Duck Amuck, Animation Chuck Jones Warner Bros. United States of America
Throw Down Your Heart, Documentary Music   
Il giocattolo,  Giuliano Montaldo  
Bluffmaster!, Drama Comedy Romance Foreign Rohan Sippy R.S. Entertainment Sahara One Entertainment India
Rockstar, Drama Music Romance Imtiaz Ali  
Kaminey, Action Crime Drama Vishal Bhardwaj  India
Return to Sleepaway Camp,Sleepaway Camp Collection Mystery Horror Comedy Robert Hiltzik Go2sho Return to Sleepaway corp. United States of America
Spectre,James Bond Collection Action Adventure Crime Sam Mendes Columbia Pictures Danjaq B24 United Kingdom United States of America
The Boom, Comedy Vittorio De Sica  
Clash of Egos, Comedy Tomas Villum Jensen Zentropa Entertainments Denmark
Pokémon: Jirachi Wish Maker,Pokémon Collection Action Animation Adventure Family Kunihiko Yuyama 4 Kids Entertainment Japan United States of America
The Surrogate, Drama Mystery Thriller Doug Campbell  
uwantme2killhim?," Drama Thriller Andrew Douglas Weinstein Company, The Bad Hat Harry Productions Anonymous Content Tribeca Film Jumping Jack Films eOne Entertainment United Kingdom"
Hyena, Drama Crime Gerard Johnson Film4 Number 9 Films United Kingdom
Chloé, Romance TV Movie Drama Dennis Berry Le Bureau France 2 (FR2) Belgium France
A Change of Heart, Drama Arvin Brown  United States of America
Good Morning... and Goodbye!, Crime Drama Russ Meyer  United States of America
Stung, Comedy Horror Benni Diez Rat Pack Filmproduktion XYZ Films United States of America Germany
"Helsinki, Forever",  Peter von Bagh  
Accidental Love, Romance Comedy David O. Russell Stephen Greene K. JAM Media United States of America
Meet Him And Die, Crime Franco Prosperi  
Staten Island Summer, Comedy Rhys Thomas Paramount Pictures United States of America
Come Dio comanda, Drama Gabriele Salvatores Rai Cinema Colorado Film Production Friuli Venezia Giulia Film Commission Italy
Due partite, Drama Enzo Monteleone Cattleya Italy
"Back to Back, Face to Face", Drama Huang Jianxin Xi'an Film Studio Simpson Communication Limited China
This Is What They Want,  Brian Koppelman David Levien  
Eli, Comedy Yuvaraj Dhayalan  
Taste of Killing, Western Tonino Valerii Hercules Cinematografica Films Montana Italy Spain
The Seventh Bullet, Adventure War Ali Khamrayev Uzbekfilm Uzbekistan
Draquila - L'Italia che trema,  Sabina Guzzanti Secol Superbo e Sciocco Produzioni Ambra Produzioni Italy
Irrational Man, Mystery Drama Woody Allen Sony Pictures Gravier Productions Perdido Productions United States of America
The Man Who Wasn't There, Fantasy Action Comedy Science Fiction Bruce Malmuth Paramount Pictures United States of America
Bad Behavior, Thriller Lisa Hamil Nicholas Brandt Beautiful Lie Pictures 
10 Cent Pistol, Action Crime Thriller Michael C. Martin Route 17 Entertainment United States of America
Ultrà, Documentary Ricky Tognazzi  
A Bottle in the Gaza Sea, Drama Thierry Binisti TS Productions France 3 (FR3) France
Inside Hana's Suitcase, Documentary Larry Weinstein  
Guest Wife, Comedy Romance Sam Wood United Artists United States of America
Men & Chicken, Comedy Drama Anders Thomas Jensen Det Danske Filminstitut Danmarks Radio (DR) M&M Productions Film Fyn DCM Productions Film i Väst Germany Denmark
The Black Shield Of Falworth, Adventure Rudolph Maté Universal International Pictures (UI) United States of America
Sakura Killers, Action wang yu Dusty Nelson  
Harbinger Down, Science Fiction Horror Alec Gillis Dark Dunes Productions Studio ADI United States of America
Sailor Moon S the Movie: Hearts in Ice,Sailor Moon Collection Animation Action Comedy Hiroki Shibata Pioneer Productions United States of America
Inner Demons, Thriller Horror Seth Grossman Schorr Pictures United States of America
Deck the Halls, Action Drama Mystery TV Movie Ron Underwood Reunion Pictures Frank von Zerneck Films RPI Group Productions 
The One That Got Away, Drama History War Roy Ward Baker The Rank Organisation Julian Wintle Productions United Kingdom
Spoiler, Science Fiction Thriller Horror Jeff Burr Ed Ancoats Inc. United States of America
The 7th Day, Drama Carlos Saura Lolafilms / Artedis Spain
Billy Wilder Speaks, Documentary Volker Schlöndorff Gisela Grischow  
Blind Man, Thriller Action Xavier Palud EuropaCorp. France
He Named Me Malala, Documentary Davis Guggenheim Participant Media Imagenation Abu Dhabi FZ Parkes+MacDonald Image Nation United Arab Emirates United States of America
Would I Lie to You? 2,Would I Lie to You? Collection Comedy Thomas Gilou TPS Cinéma TF1 Films Production M6 Métropole Télévision Télégraphe Vertigo France
Naked You Die, Mystery Foreign Antonio Margheriti Woolner Brothers Pictures Inc. BGA Super International Pictures Italy
The Assassin, Action Drama History Hou Hsiao-hsien Media Asia Films Sil-Metropole Organisation Central Motion Pictures Zhejiang Huace Film & TV China Dream Film Culture Industry SpotFilms China France Hong Kong Taiwan
Diane,  Alan Clarke  
Sriracha, Documentary Griffin Hammond  
Ghoul, Thriller Gregory Wilson Chiller Films United States of America
The Lost, Horror Crime Drama Thriller Chris Sivertson Silver Web Productions United States of America
Winning London, Comedy Family Craig Shapiro  United States of America
Beyond the Mask, Action Chad Burns Burns Family Studios United States of America
My Internship in Canada, Comedy Philippe Falardeau micro_scope Canada
Runt Page,Baby Burlesks  Ray Nazarro   
Chasuke's Journey, Drama Comedy SABU Office Kitano Japan
Spartacus, TV Movie Action Drama History Robert Dornhelm Nimar Studios USA Cable Entertainment United States of America
The Victim, Thriller Action Horror Michael Biehn BLT Productions Lotus Sound Blancbiehn Productions United States of America
The Hitcher II: I've Been Waiting,The Hitcher (1986) Collection Action Thriller Louis Morneau  United States of America
Torino nera, Drama Crime Carlo Lizzani  Italy
Tazza: The High Rollers,The War of Flower Collection Crime Comedy Dong-hun Choi  South Korea
Circle, Horror Science Fiction Aaron Hann Mario Miscione Votiv Films Taggart Productions United States of America
Imagination, Fantasy Drama Science Fiction Erik Leiser  
N: The Madness Of Reason, Documentary Peter Krüger  
Word of Honor, Drama Thriller   
Half Past Dead 2,Half Past Dead Collection Crime Action Art Camacho  United States of America
My Man, Romance Crime Drama Kazuyoshi Kumakiri  Dwango Happinet Corporation GyaO Japan
Huie's Sermon, Documentary Werner Herzog Werner Herzog Filmproduktion Süddeutscher Rundfunk (SDR) Germany
An Autumn's Tale, Drama Romance Mabel Cheung D & B Films Co. Ltd. Hong Kong
Living It Up, Comedy Music Norman Taurog Paramount Pictures United States of America
Dhadakebaaz, Comedy Mahesh Kothare  India
Tezaab, Drama N. Chandra  India
Pyaar Kiya To Darna Kya, Comedy Drama Foreign Romance Sohail Khan  
Jis Desh Mein Ganga Rehta Hai, Comedy Drama Family Mahesh Manjrekar Universal Music India
Vanina Vanini, Drama Roberto Rossellini  France Italy
Prem Ratan Dhan Payo, Drama Action Romance Sooraj R. Barjatya Fox Star Studios Rajshri Productions India
No Night Is Too Long, Crime Drama Thriller TV Movie Tom Shankland Alliance Atlantis Communications British Broadcasting Corporation (BBC) Studios Victoria Inc. United Kingdom United States of America
Scarlet Angel, Adventure Drama Western Sidney Salkow Universal International Pictures (UI) United States of America
38 Parrots, Animation Family Ivan Ufimtsev  Russia
Hussar Ballad, Comedy Eldar Ryazanov Mosfilm Russia
Lemonade, Drama Comedy Ali Atay  Turkey
Criminal Activities, Thriller Crime Drama Jackie Earle Haley NeeNee Productions Capacity Pictures May Day Movies United States of America
Hitchcock/Truffaut, Documentary Kent Jones Cohen Media Group United States of America
Schneider vs. Bax, Comedy Thriller Alex van Warmerdam Czar Verenigde Arbeiders Radio Amateurs (VARA) Graniet Film BV Netherlands
Night Wind, Drama Philippe Garrel  France
How to Win at Checkers (Every Time), Drama Josh Kim Chris Lee Productions Add Word Productions Electric Eel Films Hidden Rooster Films Thailand
Saw, Crime Horror Thriller James Wan Twisted Pictures Australia
Angels of Revolution, Romance Drama History Aleksey Fedorchenko Krasnaya Strela Russia
Ostia,  Sergio Citti  Italy
Gone Too Far!, Comedy Destiny Ekaragha Poisson Rouge Pictures BFI Film Fund United Kingdom
"Christmas, Again",  Charles Poekel  
Locust, Crime Drama Thriller Egor Baranov Central Partnership Russia
72 Tenants of Prosperity, Comedy Eric Tsang Patrick Kong Chung Shu-Kai Sil-Metropole Organisation Shaw Brothers United Filmmakers Organization (UFO) Television Broadcasts Limited (TVB) Hong Kong
Steelyard Blues, Drama Comedy Crime Alan Myerson Warner Bros. United States of America
A Fare to Remember, Drama Romance James Yukich  
The Accidental Detective, Comedy Crime Thriller Kim Jung-Hoon CJ Entertainment South Korea
Uuno Turhapuro – kaksoisagentti,Uuno Turhapuro Comedy Spede Pasanen  
Fifty Shades of Black, Romance Comedy Michael Tiddes Open Road Films (II) United States of America
Just in Time for Christmas, Family Fantasy TV Movie Romance Drama Sean McNamara Hallmark Hall of Fame Productions United States of America
Aurore, Drama Action Foreign Luc Dionne  Canada
Bo, Drama Hans Herbots Caviar Films Belgium
Brasserie Romance, Comedy Drama Joël Vanhoebrouck A Private View Belgium
Verlengd Weekend, Comedy Drama Hans Herbots  Belgium
The Son of an Afghan Farmer, Romance Drama Mathew Levin II Pilgrims 7 Corporation United States of America
Riot, Action John Lyde Mainstay Productions United States of America
Rowdy Rathore, Action Prabhu Deva SLB Films Pvt. Ltd. India
Charlie Muffin, Drama Thriller TV Movie Jack Gold Euston Films United Kingdom
General Nil,  Ryszard Bugajski  Poland
Maicol Jecson, Comedy Enrico Audenino Francesco Calabrese  
Deadlier Than the Male, Drama Thriller Julien Duvivier Société Nouvelle Pathé Cinéma Les Films Agiman France
Spanish Lake, Documentary Phillip Andrew Morton  
Soulmate, Horror Mystery Axelle Carolyn Forecast Features United Kingdom
Horse Money, Drama Pedro Costa Sociedade Óptica Técnica Portugal
The Carboard Bernini, Documentary   
Aamdani Atthanni Kharcha Rupaiya, Foreign Comedy Drama K Raghavendra Rao  India
The Thorn, Comedy Peter McWilliams  United States of America
As the Shadow,  Marina Spada  Italy
Wolves of Wall Street, Horror David DeCoteau ACH Regent Productions Christopher Filmcapital United States of America
Beach Spike, Action Tony Tang B&E Productions Hong Kong
Waqt: The Race Against Time, Drama Vipul Amrutlal Shah Blockbuster Movie Entertainers Eros Entertainment Entertainment One India
Story of Night, Documentary Clemens Klopfenstein Zweites Deutsches Fernsehen (ZDF) Institut National de l'Audiovisuel (INA) Schweizerische Radio- und Fernsehgesellschaft (SRG) Ombra-Film Germany Switzerland France
Revue, History Documentary Foreign Sergey Loznitsa  
RR, Documentary James Benning  Germany United States of America
A Humble Life, Fantasy Documentary Science Fiction Family Alexander Sokurov  Japan Russia
Insiang, Drama Lino Brocka Cinemanila Philippines
The Box,  Kanji Nakajima  Japan
Fallen, Drama Fred Kelemen Kino Kombat Screen Vision Latvia Germany
The Scarlet Flower, Family Fantasy Romance Irina Povolotskaya Gorky Film Studio Russia
Screaming Masterpiece, Documentary Ari Alexander Ergis Magnússon Zik Zak Kvikmyndir Ergis Filmproduction Iceland Denmark Netherlands
"Iracema, Uma Transa Amazônica", Drama Jorge Bodanzky Orlando Senna  Brazil
The Clan - Tale of the Frogs, Action Drama Crime Comedy Romance Mika Kaurismäki  Finland
Mods, Music Drama Serge Bozon Elena Films France
Pokiri, Action Foreign Thriller Puri Jagannath Vaishno Academy Indira Productions India
The Stoneman Murders,  Manish Gupta  
Ora o mai più, Comedy Lucio Pellegrini  
The King's Beard, Animation Family Adventure Tony Collingwood  United Kingdom
Little Blond Death, Drama Jean van de Velde Verenigde Nederlandsche Filmcompagnie (VNF) Netherlands
Shock Head Soul, Documentary Simon Pummell Hot Property Films Illuminations Films Submarine Netherlands United Kingdom
Plastic Jesus, Drama Lazar Stojanović Centar Film Serbia
Szaffi, Animation Attila Dargay  Hungary
Mermaid, Animation Fantasy Aleksandr Petrov Dago Productions Russia
Oosaravelli, Action Romance Foreign Surendra Reddy Sri Venkateswara Cine Chitra India
The Office Wife, Drama Romance Lloyd Bacon Warner Bros. United States of America
Jare vs. Cheek, TV Movie Documentary Music   
Arundhati, Horror Fantasy Thriller Kodi Rama Krishna  India
Two Faces of the Dollar, Western Roberto Bianchi Montero Les Films du Griffon Tigielle 33 France Italy
Force,Force Collection Drama Action Thriller Crime Romance Nishikant Kamat  
Prologue, Action Animation Richard Williams  
A More Perfect Union, Documentary History   
Shana: The Wolf's Music, Adventure Drama Music Nino Jacusso Really Real Films Canada Switzerland
Brian Eno: Another Green World, Documentary Music Nicola Roberts  
The Mark of the Whistler,The Whistler collection Thriller William Castle Larry Darmour Productions United States of America
Island of Death, Horror Thriller Nico Mastorakis Omega Pictures Greece
The Garden of Sinners: Future Gospel,The Garden of Sinners Animation Science Fiction Tomonori Sudou ufotable TYPE-MOON Japan
Fan, Action Drama Thriller Maneesh Sharma Red Chillies Entertainment India
Pretty Ugly People, Comedy Tate Taylor  United States of America
The game of truth, Drama Comedy Romance Foreign Álvaro Fernández Armero Morena Films De Palacio Films Spain
Disney's Very Merry Christmas Sing Along Songs, Music Animation  Walt Disney Studios Home Entertainment 
The Choice, Drama Romance Ross Katz Lionsgate Nicholas Sparks Productions United States of America
Moonshine County Express, Action Crime Drama Gus Trikonis New World Pictures Universal Majestic Inc. United States of America
At the End of the Tunnel, Crime Thriller Rodrigo Grande Haddock Films S.R.L. Televisión Española (TVE) Telefé International Tornasol Films S.A. Árbol Contenidos Spain Argentina
Citizen, Drama Action Crime Foreign Saravana Subbiah Nic Arts India
Santa Claus, Comedy Alexandre Coffre Mars Distribution France
Daughter... Father... Daughter,    
Spiral Jetty, Documentary Robert Smithson  
Noma: My Perfect Storm, Documentary Pierre Deschamps  United Kingdom
Gourmet Club, Comedy Juha Wuolijoki  Finland
Gascoigne, Documentary Jane Preston Salon Pictures United Kingdom
Port of Call, Crime Thriller Philip Yung Mei Ah Films Production Co. Ltd. Hong Kong
Skinning, Action Crime Drama Stevan Filipović Hypnopolis Serbia
Deathlands, Science Fiction   
All of My Heart,All of My Heart Collection Romance TV Movie Peter DeLuise The Hallmark Channel 
One Starry Christmas, Romance John Bradshaw  Canada
Adolf Hitler: The Greatest Story Never Told, Documentary History Dennis Wise TruthWillOut Films 
Annie's Point, Drama Family Michael Switzer Larry Levinson Productions United States of America
Ali Wong: Baby Cobra, Comedy Jay Karas New Wave Entertainment United States of America
High Tide,  Oddvar Einarson  
Beyond Sleep, Drama Boudewijn Koole  
Bye Bye Blue Bird, Comedy Drama Katrin Ottarsdóttir  
Daughter of Darkness, Thriller Lance Comfort Alliance Productions Victor Hanbury Productions United Kingdom
Complete Unknown, Drama Mystery Thriller Joshua Marston Parts and Labor Great Point Media Heron Television United States of America
Angels One Five, Drama War George More O'Ferrall Associated British Picture Corporation (ABPC) Templar Film Studios United Kingdom
No Man's Woman, Crime Franklin Adreon Republic Pictures (I) United States of America
Womanlight, Drama Costa-Gavras Corona Cinematografica Opera Film France
Hail! Mafia, Thriller Crime Drama Raoul Lévy  
El patrullero 777, Comedy Miguel M. Delgado Rioma Films Mexico
"You, Me and Him", Drama Daniel Ribeiro  Brazil
Living in the Age of Airplanes, Documentary Brian J. Terwilliger Terwilliger Productions United States of America
The Lost Valentine, TV Movie Romance Drama Darnell Martin Hallmark Hall of Fame Productions United States of America
Curse of the Crimson Altar, Horror Mystery Vernon Sewell Tigon British Film Productions United Kingdom
Schmitke, Comedy Drama Stepan Altrichter  Czech Republic Germany
The Love Witch, Comedy Fantasy Horror Romance Anna Biller Anna Biller Productions United States of America
Kingsglaive: Final Fantasy XV,Final Fantasy Collection Action Animation Adventure Drama Fantasy Science Fiction Takeshi Nozue Square Enix Digic Pictures Image Engine Design Japan United States of America
Sorry for the Disturbance, Comedy Drama Mystery Khaled Marei  Egypt
Jaco, Music Documentary Paul Marchand Stephen Kijak  
Prince Among Slaves, Documentary Bill Duke Andrea Kalin Spark Media Unity Productions Foundation United States of America
Exit Speed, Action Thriller Scott Ziehl Sabbatical Pictures United States of America
Swingers, Romance Drama Stephan Brenninkmeijer BrennFilm Rebel Film BV Netherlands
Road to Kabul, Comedy Action Brahim Chkiri  Morocco
Love Finds A Home,The Love Comes Softly Collection Drama Action Western Family David S. Cass Sr.  United States of America
A Stand Up Guy, Comedy Mike Young 2B Films United States of America
Rustom, Thriller Romance Tinu Suresh Desai KriArj Entertainment India
The Accountant, Crime Thriller Drama Gavin O'Connor Zero Gravity Management Warner Bros. Electric City Entertainment RatPac-Dune Entertainment United States of America
League of Gods, Action Fantasy Koan Hui On Distant Horizons China Star Entertainment Huayi Brothers China Hong Kong
1st to Die, Action Thriller Russell Mulcahy  
Steel Frontier, Action Science Fiction Paul G. Volk Joe Hart PM Entertainment Group United States of America
Horses of God, Drama Nabil Ayouch Jamal Belmahi Ali'n Productions France Morocco
The Best of Insomniac with Dave Attell Volume 1, Comedy  Comedy Central United States of America
Street Fighter IV: The Ties That Bind,Street Fighter Collection Action Animation Jirô Kanai Studio 4°C Japan
Killjoy, Mystery Thriller John Llewellyn Moxey  
Star Spangled Rhythm, Comedy Music George Marshall Paramount Pictures United States of America
"Joshua Tree, 1951: A Portrait of James Dean", Drama Matthew Mishory Jay-X Entertainment Iconoclastic Features United States of America
I'll Sleep When I'm Dead, Documentary Justin Krook  
The Work and the Glory III: A House Divided,The Work and the Glory Collection Drama Sterling Van Wagenen  United States of America
Paranormal Entity,Paranormal Investigations Collection Horror Mystery Thriller Shane Van Dyke The Asylum United States of America
In-Lawfully Yours, Romance Robert Kirbyson Home Theater Films United States of America
Two-Legged Horse, Drama Foreign Samira Makhmalbaf Wild Bunch Makhmalbaf Productions Iran France
Kick the Moon, Comedy Drama Kim Sang-jin  South Korea
The White King, Drama Science Fiction Alex Helfrecht Jörg Tittel Proton Cinema Oiffy Hungary United Kingdom
45365, Documentary Bill Ross IV Turner Ross  
Operator, Comedy Drama Logan Kibens Cruze & Company United States of America
Merry In-Laws, Comedy Fantasy Leslie Hope Johnson Production Group Nomadic Pictures Canada
It's All Good, Comedy Aaron Fronk FND Films United States of America
Trading Christmas, TV Movie Family Michael Scott Front Street Pictures Trade Street Productions Canada United States of America
Cinderella, Fantasy Horror Science Fiction Family Georges Méliès Star-Film Georges Méliès France
Joe Rogan: Triggered, Comedy Anthony Giordano Talking Monkey Netflix United States of America
Ο Θανάσης στη χώρα της σφαλιάρας,  Panos Glykofrydis Dinos Katsouridis  
Hollywood Without Make-Up, Documentary  Filmaster Incorporated United States of America
Almost Christmas, Comedy Drama David E. Talbert Universal Pictures Will Packer Productions United States of America
Jeff Ross Roasts Cops, Comedy   
Outlaw: Kill!,Outlaw Gangster VIP: The Complete Collection Foreign Crime Action Thriller Keiichi Ozawa Nikkatsu Japan
Christmas with Holly, Drama Family Allan Arkush Hallmark Hall of Fame Productions United States of America Canada
Allerleirauh, Family Fantasy Christian Theede ARD NDR Germany
The Sea Around Us, Documentary Irwin Allen RKO Radio Pictures Irwin Allen Productions United States of America
Siren, Horror Gregg Bishop Chiller Films Blue Falcon Productions Big Picture Casting United States of America
The Space Between Us, Romance Adventure Science Fiction Drama Peter Chelsom Southpaw Entertainment STX Entertainment Los Angeles Media Fund (LAMF) United States of America
Opening Night, Comedy Music Isaac Rentz Dark Factory Entertainment United States of America
Happy Wedding, Comedy Drama Romance Omar Lulu Eros International India
I Can Make You Love Me, Thriller Michael Switzer Leonard Hill Films Frank Abatemarco Productions United States of America
Three Heroes and Julius Caesar,Three Heroes Collection Adventure Animation Comedy Fantasy Konstantin Feoktistov Melnitsa Animation Studio Russia
King for a Day, Comedy Nikolai Volev Boyana Film Bulgaria
Mercy, Thriller Chris Sparling XYZ Films Netflix 
Under the Sea 3D, Documentary Howard Hall Warner Bros. Imax Filmed Entertainment Howard Hall Productions Canada United States of America
Overdose,El pico - Colección Drama Eloy de la Iglesia Ópalo Films Spain
Say 'I Love You', Drama Romance Asako Hyuga Shochiku Japan
María (y los demás), Comedy Drama Nely Reguera Friday Films Spain
Shadow of the Wolf, Drama Adventure Jacques Dorfmann  France Canada
I Am Femen, Documentary Alain Margot  Switzerland
The Twelve Gold Medallions, Action Drama Foreign Cheng Kang Shaw Brothers Hong Kong
Sleepless, Action Crime Thriller Baran bo Odar Vertigo Entertainment FilmNation Entertainment Open Road Films (II) Riverstone Pictures United States of America
All We Had, Drama Katie Holmes Mustard & Co Straight Shot Films Jaro/Noelle Production United States of America
Eddie Griffin: You Can Tell 'Em I Said It, Comedy Jay Karas  United States of America
Purgatory, Horror Mystery Pau Teixidor  Spain
Special Delivery,  John Weldon Eunice Macaulay  Canada
Vipers Nest, Drama Will Koopman Independent Films Netherlands France
Boo! A Madea Halloween, Comedy Horror Tyler Perry Lionsgate The Tyler Perry Company United States of America
The Stolen Years, Romance Barbara Wong Chun-Chun China Movie Channel Beijing New Film Association China
Curumim, Documentary Marcos Prado  
Journey To Greenland, Drama Comedy Sébastien Betbeder UFO Envie de tempête Productions Bobi Lux France
Hickey, Comedy Alex Grossman Nut Bucket Films Maxine Street Productions United States of America
The Happy Film, Documentary Stefan Sagmeister Ben Nabors Hillman Curtis  
Eternal Summer, Drama Romance Leste Chen Three Dots Entertainment Company Flash Forward Entertainment Rolling Film Entertainment Taiwan
Berlin Syndrome, Mystery Thriller Drama Horror Cate Shortland Screen Australia Memento Films International Film Victoria Aquarius Films Fulcrum Media Finance DDP Studios Photoplay Films Australia
They Nest, Science Fiction Horror Ellory Elkayem The Kushner-Locke Company United States of America
Tony Roberts: Motorcity Motormouth, Comedy Elijah Dylan Costa  United States of America
Fist of the North Star: Legend of Yuria,Fist of the North Star: The Legends of the True Savior Action Animation Hidehito Ueda TMS Japan
Joe Rogan: Rocky Mountain High, Comedy Ryan Polito Talking Monkey United States of America
Across the Waters, Drama History War Nicolo Donato  Denmark
Donald Cried, Drama Comedy Kris Avedisian Rough House Pictures How follows what Electric Chinoland Ramo Law United States of America
The Railroad Lady, Comedy Drama Timo von Gunten Jacques à Bâle Pictures Switzerland
